DATE,N_WELLS,MONTHLY_GAS_PROD
1992-01-01,13138,64969482.24999999
1992-02-01,13058,56396114.449999996
1992-03-01,12574,53521773.14999999
1992-04-01,12492,47700017.24999999
1992-05-01,12402,50479536.949999996
1992-06-01,12369,48766049.24999999
1992-07-01,12163,49127271.24999999
1992-08-01,12159,48659380.24999999
1992-09-01,12467,47816357.24999999
1992-10-01,12983,56079614.24999999
1992-11-01,13184,64011439.24999999
1992-12-01,13304,70616691.25000001
1993-01-01,13158,67905504.25
1993-02-01,12958,59031043.25
1993-03-01,12878,61261424.25
1993-04-01,12719,54644864.25
1993-05-01,12650,55881016.25
1993-06-01,12753,52640357.25
1993-07-01,12414,52676361.25
1993-08-01,12348,50799878.25
1993-09-01,12707,47573645.25
1993-10-01,12959,54125584.25
1993-11-01,13274,60246610.25
1993-12-01,13458,65871345.25
1994-01-01,13466,66186008.166666664
1994-02-01,13566,58871830.166666664
1994-03-01,13409,62203838.166666664
1994-04-01,13383,59289274.166666664
1994-05-01,13401,61921914.166666664
1994-06-01,13278,58281849.166666664
1994-07-01,13284,58901292.166666664
1994-08-01,13219,57534576.166666664
1994-09-01,13462,54771718.166666664
1994-10-01,13646,58352636.166666664
1994-11-01,13892,64854119.166666664
1994-12-01,13880,67304691.16666667
1995-01-01,13923,65969630.66666666
1995-02-01,13811,59444200.66666666
1995-03-01,13817,62784574.66666666
1995-04-01,13692,60525848.66666666
1995-05-01,13762,60869172.66666666
1995-06-01,13870,60223133.66666666
1995-07-01,13762,61212189.66666666
1995-08-01,13681,59676589.66666666
1995-09-01,13868,55195190.66666666
1995-10-01,14051,60261169.66666666
1995-11-01,14084,62611756.66666666
1995-12-01,14248,65553960.66666666
1996-01-01,12307,64603992.0
1996-02-01,12535,61838980.0
1996-03-01,12523,64728568.0
1996-04-01,12437,62405525.0
1996-05-01,12352,63038822.0
1996-06-01,12320,60561859.0
1996-07-01,12256,61636764.0
1996-08-01,10820,51218883.0
1996-09-01,12415,64809090.0
1996-10-01,12427,59587437.0
1996-11-01,12326,58905859.0
1996-12-01,12382,62231219.0
1997-01-01,12185,60133642.0
1997-02-01,12216,54453184.0
1997-03-01,12337,59831563.0
1997-04-01,12406,58512915.0
1997-05-01,12396,59588331.0
1997-06-01,12431,56809907.0
1997-07-01,12453,58606356.0
1997-08-01,12206,55720866.0
1997-09-01,12566,59345177.0
1997-10-01,12571,54765475.0
1997-11-01,12579,55793682.0
1997-12-01,12613,56821582.0
1998-01-01,12406,55138263.0
1998-02-01,12618,50084840.0
1998-03-01,12681,54249711.0
1998-04-01,12799,51626259.0
1998-05-01,12699,52378250.0
1998-06-01,12591,51373969.0
1998-07-01,11561,44048648.0
1998-08-01,12430,47426061.0
1998-09-01,12620,48992580.0
1998-10-01,12719,51774763.0
1998-11-01,12664,49374948.769999996
1998-12-01,12449,50226226.0
1999-01-01,12689,50932082.0
1999-02-01,12707,44896654.0
1999-03-01,12775,49667825.0
1999-04-01,12689,47826115.0
1999-05-01,12732,47598080.0
1999-06-01,12807,47453387.0
1999-07-01,12719,48098989.0
1999-08-01,12768,47437668.0
1999-09-01,12824,44862713.0
1999-10-01,12825,46663172.0
1999-11-01,12856,45283990.0
1999-12-01,12884,46948494.0
2000-01-01,12975,46451816.0
2000-02-01,13003,43470794.0
2000-03-01,13088,45905309.0
2000-04-01,13119,50939631.0
2000-05-01,13134,44948777.0
2000-06-01,13157,44208796.0
2000-07-01,13158,45108745.0
2000-08-01,13160,44788502.0
2000-09-01,13147,41897817.0
2000-10-01,13098,42286883.0
2000-11-01,13165,41443696.0
2000-12-01,13283,42189428.0
2001-01-01,13267,42478458.0
2001-02-01,13430,37568465.0
2001-03-01,13470,41437938.0
2001-04-01,13546,40110272.0
2001-05-01,13608,41458803.0
2001-06-01,13517,40168059.0
2001-07-01,13551,41523565.0
2001-08-01,13676,41402952.0
2001-09-01,13713,39578409.0
2001-10-01,13744,40352844.0
2001-11-01,13839,39292710.0
2001-12-01,13891,40647454.0
2002-01-01,13875,40117476.0
2002-02-01,13984,35792764.0
2002-03-01,14030,39703673.0
2002-04-01,14007,38777286.0
2002-05-01,14109,39873288.0
2002-06-01,14020,38236363.0
2002-07-01,14121,39493839.010000005
2002-08-01,14181,39266131.0
2002-09-01,14342,36663774.010000005
2002-10-01,14409,37633233.0
2002-11-01,14512,36194870.0
2002-12-01,14563,37167458.010000005
2003-01-01,14653,36614861.0
2003-02-01,14625,32695469.0
2003-03-01,14816,36474240.0
2003-04-01,14928,35261930.0
2003-05-01,14817,35889803.0
2003-06-01,14906,34412948.0
2003-07-01,14998,36247503.0
2003-08-01,15072,36742829.0
2003-09-01,15197,34910301.0
2003-10-01,15178,35471712.0
2003-11-01,15119,34096237.0
2003-12-01,15297,34692156.0
2004-01-01,15477,34509974.0
2004-02-01,15445,31978520.0
2004-03-01,15362,34158361.0
2004-04-01,15482,33227586.0
2004-05-01,15572,34251584.0
2004-06-01,15990,33500631.0
2004-07-01,16345,34764267.0
2004-08-01,16589,34213174.0
2004-09-01,16627,32728493.0
2004-10-01,16677,33273095.0
2004-11-01,16736,31953564.0
2004-12-01,16839,32033795.0
2005-01-01,16980,31899055.0
2005-02-01,17005,29057669.0
2005-03-01,17180,32334143.0
2005-04-01,17294,31512196.0
2005-05-01,17495,32130134.0
2005-06-01,17583,30885902.0
2005-07-01,17668,32398942.0
2005-08-01,17809,33088809.0
2005-09-01,17853,31802060.0
2005-10-01,17929,32304006.0
2005-11-01,18083,31218584.0
2005-12-01,18139,31228810.0
2006-01-01,18197,31762649.0
2006-02-01,18486,28262051.0
